,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
0,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,1,561.0,9000.0,22500.0,72000.0,1660.0,3195.0,6337.0
1,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,2,412.0,6291.93,18288.0,73840.0,1710.0,3797.0,7295.0
2,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,3,129.0,1500.0,2298.6,4935.0,1610.0,3070.0,5890.0
3,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,4,156.0,572.035,6075.0,43659.625,168.5,422.5,719.5
8,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,9,276.0,2500.0,5063.3,6300.0,1233.5,3000.0,6315.0
9,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,10,52.0,11167.0,22500.0,116125.0,849.0,1766.5,3170.5
27,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,35,29.0,4000.0,4000.0,4000.0,526.0,1770.0,5250.0
48,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,67,8.0,200000.0,200000.0,200000.0,170.0,271.5,2528.5
51,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,70,481.0,2696.67,17573.0,57800.0,41.0,219.0,1024.0
59,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,78,198.0,35000.0,90000.0,180000.0,285.0,523.0,871.0
69,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,200,2493.0,115000.0,195000.0,280000.0,210.0,455.0,900.0
72,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,203,28.0,20000.0,72500.0,170000.0,52.5,208.5,907.5
73,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,204,78.0,8000.0,12000.0,13333.33,23.0,36.5,205.0
78,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,222,28.0,95955.0,255250.0,390000.0,130.0,176.5,470.0
80,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,240,51.0,120000.0,232476.25,279850.0,913.0,2215.5,3245.0
87,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,247,53.0,8539.0,100000.0,220000.0,78.0,417.0,1191.0
93,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,265,7.0,133375.0,230875.0,1290000.0,631.0,754.0,1270.0
136,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,371,24.0,31000.0,123750.0,160000.0,371.0,637.0,1521.0
150,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,402,5.0,14500.0,14500.0,14500.0,227.0,1187.0,3575.0
155,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,407,96.0,72500.0,200000.0,295000.0,132.5,264.5,519.5
186,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,460,29.0,306444.3,306444.3,306444.3,1632.0,2341.0,3713.0
203,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,503,23.0,19000.0,49500.0,130000.0,200.0,743.5,1643.0
230,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,539,49.0,15000.0,125000.0,340000.0,28.0,420.5,2126.0
239,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,549,8.0,239580.0,239580.0,239580.0,194.0,194.0,194.0
315,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,COMMUNAUTE,200,3007.0,100000.0,168000.0,300000.0,278.0,557.5,993.0
492,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,1,1943.0,16500.0,88750.0,161100.0,2160.0,4500.0,9212.0
493,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,2,1018.0,10740.0,62500.0,140000.0,2074.0,4640.0,9556.0
494,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,3,203.0,6799.9,17750.0,48395.78,1660.0,3379.0,6600.0
495,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,4,189.0,5000.0,25000.0,80000.0,189.0,430.0,846.0
500,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,9,247.0,2000.0,13911.5,235000.0,1400.0,3787.0,8188.0
501,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,10,76.0,8000.0,11853.33,115000.0,843.0,1562.0,3193.0
519,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,35,37.0,70000.0,70000.0,70000.0,421.0,1320.0,3695.0
543,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,70,461.0,23500.0,67800.0,125000.0,363.0,883.0,1660.0
551,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,78,345.0,80000.0,120000.0,160000.0,486.0,745.0,1156.0
561,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,200,2537.0,150000.0,219313.835,310000.0,230.0,511.0,1008.0
