,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
0,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,1,978.0,10000.0,25000.0,83000.0,1500.0,3095.0,6376.0
1,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,2,612.0,9693.0,21500.0,46666.66,1830.0,3770.0,7800.0
2,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,3,148.0,10400.0,17500.0,150000.0,1441.5,2805.0,4250.0
3,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,4,250.0,1000.0,5600.0,25000.0,185.0,397.0,670.0
8,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,9,246.0,3000.0,8400.0,40000.0,1160.0,2769.5,6961.0
9,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,10,91.0,4071.25,6394.0,69519.0,636.0,1390.0,3674.0
10,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,11,11.0,30000.0,30000.0,30000.0,4545.0,6880.0,7840.0
27,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,35,44.0,98000.0,124000.0,150000.0,815.0,1540.0,3814.5
51,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,70,697.0,11836.245,48750.0,94750.0,44.0,175.0,821.0
52,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,71,9.0,1500.0,1500.0,1500.0,13.0,175.0,788.0
59,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,78,337.0,60000.0,130000.0,208000.0,403.0,587.0,918.0
65,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,164,12.0,41000.0,41000.0,41000.0,156.0,872.5,1136.0
69,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,200,3375.0,121925.0,212583.37,310000.0,220.0,480.5,959.0
72,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,203,33.0,15000.0,25000.0,90000.0,70.0,193.0,750.0
73,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,204,113.0,10000.0,16833.33,54000.0,20.0,36.0,158.0
78,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,222,59.0,237500.0,309000.0,495000.0,144.0,232.0,473.0
79,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,223,5.0,120000.0,120000.0,120000.0,133.0,344.5,556.0
80,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,240,54.0,80000.0,185690.8,350000.0,1068.0,2374.5,4107.0
87,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,247,56.0,25000.0,49600.0,130000.0,135.5,307.0,1699.0
89,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,261,10.0,500000.0,500000.0,500000.0,716.0,1131.0,1446.0
91,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,263,7.0,265686.63,265686.63,265686.63,291.0,634.0,1806.0
93,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,265,17.0,72500.0,232034.71,235000.0,382.0,924.0,1533.5
136,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,371,29.0,62460.82,65000.0,90482.51,298.0,912.0,3033.0
