,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
0,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,1,816.0,5200.0,25100.0,147200.0,1471.0,3087.5,6133.0
1,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,2,389.0,11181.0,33750.0,73175.0,1720.0,3338.0,6184.0
2,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,3,111.0,3000.0,5000.0,19760.0,1182.0,2820.0,6380.0
3,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,4,191.0,10020.0,15400.0,50000.0,140.0,352.0,573.0
8,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,9,332.0,4000.0,195000.0,517500.0,920.0,2505.0,6390.0
9,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,10,61.0,7840.0,15500.0,37500.0,1178.0,1560.0,2950.0
27,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,35,37.0,130000.0,130000.0,130000.0,434.0,1235.0,2261.0
51,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,70,541.0,7167.57,29583.33,75000.0,62.0,260.0,1009.0
59,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,78,139.0,103500.0,170000.0,262500.0,406.0,533.0,885.0
65,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,164,5.0,350000.0,350000.0,350000.0,220.0,281.0,433.0
69,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,200,2717.0,120000.0,210000.0,300000.0,230.0,490.0,910.0
72,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,203,30.0,10583.5,30500.0,95900.0,32.0,152.5,262.0
73,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,204,91.0,20000.0,25000.0,80000.0,19.0,40.0,230.0
78,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,222,35.0,175000.0,300000.0,850000.0,190.0,259.0,547.0
80,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,240,56.0,159900.0,202000.02,274500.0,1446.5,2382.5,4068.0
87,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,247,35.0,80000.0,108950.0,141450.0,97.0,374.0,1329.0
