,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
0,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,1,636.0,8063.8,20000.0,96232.4,1845.0,3748.0,7477.5
1,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,2,349.0,9820.0,26601.5,77630.93,1370.0,4010.0,8340.0
2,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,3,126.0,4000.0,5947.5,400000.0,1150.0,2500.0,4540.0
3,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,4,178.0,2000.0,9396.27,30000.0,161.0,350.0,602.0
8,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,9,165.0,4000.0,10282.5,75000.0,1310.0,2450.0,4140.0
13,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,17,10.0,27000.0,27000.0,27000.0,852.0,6807.5,13170.0
25,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,33,71.0,3500.0,146750.0,290000.0,139.0,312.0,1140.0
27,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,35,26.0,2880.0,2880.0,2880.0,246.0,940.0,2990.0
51,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,70,505.0,16000.0,42004.0,83333.33,55.0,208.0,1147.0
58,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,77,11.0,8000.0,8000.0,8000.0,90.0,184.0,403.0
59,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,78,131.0,57250.0,125000.0,230000.0,443.0,678.0,967.0
69,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,200,2672.0,125000.0,205000.0,295000.0,225.0,480.0,904.5
72,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,203,25.0,48000.0,49000.0,50000.0,42.0,110.0,282.0
73,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,204,90.0,7500.0,20467.0,80000.0,20.0,38.0,215.0
78,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,222,37.0,208324.0,366212.6,613998.0,163.0,229.0,550.0
80,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,240,40.0,175000.0,215000.0,303000.0,1281.5,2585.0,3710.5
84,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,244,5.0,140000.0,140000.0,140000.0,1401.5,3160.5,7715.5
87,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,247,32.0,30000.0,113000.0,250000.0,108.0,328.5,975.0
93,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,265,18.0,40000.0,170000.0,280000.0,240.0,910.0,2243.0
136,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,371,31.0,81685.0,105067.0,305000.0,403.0,1003.0,1826.0
155,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,407,106.0,130000.0,211000.0,320000.0,110.0,212.0,388.0
203,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,503,23.0,86250.0,100000.0,145000.0,221.0,528.0,844.0
