,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
69,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,200,163.0,280000.0,395000.0,600000.0,115.0,193.0,275.0
78,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,222,9.0,1230000.0,1422095.245,1614190.49,170.0,240.0,419.0
155,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,407,20.0,320617.43,473750.0,700000.0,82.0,131.5,175.0
505,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,17,7.0,210000.0,210000.0,210000.0,671.0,1101.0,1863.0
561,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,200,206.0,236000.0,360000.0,560000.0,125.0,197.0,290.0
570,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,222,27.0,299325.0,500000.0,627500.0,150.0,270.0,345.0
647,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,407,36.0,250000.0,348916.665,600000.0,87.5,120.0,208.5
807,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,200,232.0,277500.0,395000.0,470000.0,115.0,160.0,248.0
816,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,222,29.0,612100.0,612100.0,612100.0,145.0,210.0,305.0
874,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,371,12.0,24.79,24.79,24.79,354.0,2630.0,7624.0
888,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,402,17.0,5700376.5,5700376.5,5700376.5,1585.0,3694.0,6322.0
893,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,407,52.0,250000.0,400000.0,400000.0,92.5,130.5,195.0
1053,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,PARTAGE,200,21.0,255000.0,332000.0,375000.0,102.0,135.0,231.0
1230,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,1,5.0,41920.0,41920.0,41920.0,142.0,184.0,187.0
1233,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,4,13.0,15725.0,30000.0,150000.0,200.0,349.0,401.0
1299,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,200,510.0,290000.0,365000.0,450000.0,110.0,160.0,230.0
1303,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,204,13.0,20000.0,20000.0,20000.0,16.0,16.0,20.0
1308,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,222,35.0,400000.0,495000.0,700000.0,146.0,200.0,297.0
1385,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,407,54.0,308000.0,395000.0,525000.0,82.0,117.5,170.0
1479,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,4,23.0,20480.0,217500.0,485000.0,136.0,326.0,710.0
1489,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,17,14.0,150000.0,150000.0,150000.0,494.0,673.5,1045.0
1527,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,70,17.0,48220.0,200000.0,250000.0,10.0,192.0,500.0
1535,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,78,14.0,132500.0,160000.0,531000.0,166.0,243.0,356.0
1541,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,164,5.0,112500.0,856250.0,1600000.0,90.0,167.0,315.0
1545,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,200,767.0,330000.0,450000.0,610000.0,105.0,160.0,240.0
1549,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,204,12.0,90000.0,460000.0,520000.0,30.5,99.0,362.0
1554,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,222,39.0,690000.0,1172500.0,1492000.0,127.0,190.0,310.0
1569,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,265,16.0,530000.0,700000.0,870000.0,178.0,284.5,475.5
1612,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,371,12.0,450000.0,550500.0,1323000.0,190.5,490.5,1991.5
1626,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,402,5.0,1175000.0,8262500.0,15350000.0,394.0,1281.0,6462.0
1631,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,407,102.0,300000.0,430000.0,530000.0,80.0,122.5,178.0
1706,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,539,17.0,262750.0,440000.0,472500.0,25.0,133.0,338.0
1791,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEPUBIMMEUB,200,10.0,372000.0,424500.0,618000.0,115.0,143.0,250.0
1968,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,1,10.0,41920.0,41920.0,41920.0,142.0,323.0,1938.0
1971,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,4,48.0,20000.0,102500.0,270000.0,144.5,332.0,558.0
1972,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,5,7.0,10925.0,11012.5,11100.0,925.0,930.0,2350.0
1981,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,17,32.0,150000.0,180000.0,210000.0,370.0,687.5,1126.5
2019,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,70,41.0,75000.0,180000.0,245000.0,113.0,284.0,588.0
2020,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,71,5.0,23000.0,23000.0,23000.0,279.0,2470.0,3169.0
2027,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,78,32.0,120000.0,147472.045,386000.0,191.0,355.0,567.5
2033,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,164,27.0,112500.0,350000.0,1600000.0,167.0,250.0,1063.0
2037,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,200,1993.0,300000.0,400000.0,550000.0,110.0,165.0,250.0
2041,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,204,39.0,20000.0,20000.0,90000.0,19.0,37.0,433.0
2046,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,222,143.0,400000.0,627500.0,1150000.0,146.0,200.0,310.0
2057,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,261,8.0,380000.0,380000.0,380000.0,314.0,422.0,1142.5
2061,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,265,29.0,120000.0,530000.0,870000.0,120.0,237.0,481.0
2102,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,357,11.0,7650000.0,7650000.0,7650000.0,2664.0,6126.0,8996.0
2104,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,371,30.0,420000.0,550500.0,700000.0,204.0,590.0,2630.0
2118,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,402,26.0,1175000.0,5700376.5,15350000.0,881.0,2966.5,6462.0
2123,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,407,268.0,300000.0,400000.0,530000.0,82.0,121.5,179.5
2198,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,539,29.0,262750.0,440000.0,472500.0,29.0,257.0,370.0
