,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
69,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,200,119.0,260000.0,358500.0,500000.0,104.0,155.0,221.0
78,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,222,8.0,280000.0,730000.0,1250000.0,130.0,178.5,204.0
155,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,407,16.0,100000.0,400000.0,550000.0,100.0,115.5,160.0
561,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,200,214.0,212500.0,350000.0,510000.0,130.0,210.0,315.0
565,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,204,8.0,590000.0,590000.0,590000.0,20.0,46.0,412.0
570,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,222,21.0,250000.0,360000.0,750000.0,170.0,232.0,289.0
647,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,407,20.0,275000.0,345000.005,497500.0,90.0,130.0,168.0
797,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,78,32.0,5000.0,5000.0,5000.0,277.5,1244.0,1612.5
807,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,200,203.0,285000.0,355000.0,447500.0,120.0,165.0,265.0
811,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,204,8.0,714020.0,714020.0,714020.0,58.0,215.5,548.0
874,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,371,11.0,950650.0,1155352.57,1235650.0,255.0,596.0,1388.0
