,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
69,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,200,165.0,300000.0,420000.0,575000.0,103.0,151.0,260.0
78,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,222,9.0,530000.0,625000.0,912000.0,174.0,216.0,409.0
155,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,407,13.0,342500.0,450000.0,787500.0,106.0,130.0,165.0
561,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,200,264.0,192500.0,300000.0,550000.0,130.0,192.5,287.0
570,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,222,25.0,235000.0,450000.0,640000.0,140.0,221.0,324.0
647,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,407,35.0,245000.0,321000.0,544000.0,75.0,105.0,154.0
807,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,200,202.0,310000.0,414500.0,575000.0,120.0,175.0,247.0
831,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,265,7.0,1092000.0,1595895.0,2099790.0,118.0,125.0,713.0
888,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,402,7.0,6000000.0,6000000.0,6000000.0,258.0,463.0,805.0
893,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,407,50.0,270000.0,270000.0,270000.0,99.0,149.0,225.0
1053,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,PARTAGE,200,26.0,301500.0,412500.0,832500.0,143.0,180.0,295.0
1299,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,200,240.0,318750.0,375000.0,482500.0,104.0,154.0,225.0
1308,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,222,12.0,645000.0,650000.0,650000.0,188.0,212.0,261.0
1385,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,407,22.0,235000.0,350000.0,510000.0,75.0,117.5,170.0
1479,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,4,23.0,15500.0,23000.0,565000.0,98.0,200.0,395.0
1489,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,17,10.0,125000.0,125000.0,125000.0,431.0,485.0,1620.0
1527,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,70,42.0,150000.0,391500.0,825000.0,105.0,167.0,415.0
1535,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,78,14.0,247500.0,585000.0,812500.0,244.0,292.0,508.0
1545,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,200,890.0,370000.0,500000.0,730000.0,110.0,164.0,255.0
1549,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,204,17.0,65000.0,97500.0,417500.0,20.0,26.0,88.0
1554,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,222,41.0,530000.0,843000.0,1320000.0,153.0,190.0,364.0
1569,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,265,12.0,262500.0,420000.0,521000.0,249.0,425.5,761.5
1612,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,371,11.0,326250.0,518750.0,1812500.0,195.0,290.0,813.0
1626,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,402,7.0,2500000.0,3440000.0,3940000.0,1694.0,3935.0,9886.0
1631,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,407,74.0,350000.0,475000.0,750000.0,70.0,94.0,135.0
1791,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEPUBIMMEUB,200,36.0,287000.0,404000.0,476000.0,110.0,167.0,220.0
1971,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,4,47.0,15500.0,23000.0,565000.0,153.0,332.0,534.0
1981,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,17,22.0,125000.0,125000.0,125000.0,450.0,756.5,1710.0
2019,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,70,70.0,150000.0,391500.0,825000.0,75.0,167.0,492.0
2027,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,78,33.0,250000.0,553162.5,735000.0,244.0,403.0,657.0
2033,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,164,24.0,400000.0,400000.0,400000.0,143.0,354.0,1614.0
2037,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,200,1936.0,323000.0,450000.0,650000.0,112.0,167.0,255.0
2040,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,203,7.0,242000.0,281000.0,320000.0,183.0,281.0,365.0
2041,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,204,33.0,80000.0,115000.0,525000.0,21.0,39.0,180.0
2046,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,222,135.0,445000.0,650000.0,1000000.0,153.0,216.0,316.0
2057,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,261,9.0,455000.0,471250.0,487500.0,375.0,448.0,1016.0
2061,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,265,26.0,215000.0,440000.0,1092000.0,119.0,246.5,706.0
2104,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,371,19.0,362500.0,500000.0,675000.0,195.0,495.0,1219.0
2118,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,402,15.0,2500000.0,3440000.0,3940000.0,286.0,805.0,5260.0
2123,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,407,213.0,300000.0,450000.0,627500.0,80.0,110.0,160.0
2154,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,460,9.0,1258800.0,1258800.0,1258800.0,1310.0,1404.0,1725.0
2198,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,539,8.0,320000.0,407500.0,495000.0,87.0,160.0,448.0
2214,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,1,82.0,13835.625,22371.0,58621.0,1845.0,3891.5,8235.0
2215,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,2,25.0,3292.24,9000.0,160000.0,1926.0,3083.0,5715.0
2216,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,3,6.0,8914.26,11555.88,14197.5,3126.0,3382.5,6295.0
