,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
69,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,200,142.0,325000.0,435000.0,530250.0,110.0,175.0,250.0
78,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,222,9.0,400000.0,400000.0,400000.0,170.0,171.0,171.0
155,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,407,19.0,179333.33,300000.0,550000.0,85.0,110.0,165.0
495,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,4,8.0,4000.0,4000.0,4000.0,328.0,495.5,661.0
505,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,17,6.0,300000.0,300000.0,300000.0,340.0,641.0,1863.0
561,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,200,273.0,210000.0,336250.0,500000.0,120.0,187.0,284.0
570,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,222,30.0,192400.0,273500.0,675000.0,165.0,206.0,269.0
647,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,407,32.0,310000.0,550000.0,871900.0,101.0,143.5,268.5
797,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,78,39.0,451816.0,1065304.0,1449108.0,222.0,416.0,1960.0
807,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,200,239.0,245000.0,385000.0,450000.0,120.0,180.0,240.0
816,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,222,45.0,230025.0,5983632.5,12030322.5,175.0,277.0,399.0
831,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,265,5.0,600000.0,1497811.5,2395623.0,458.0,1436.0,3007.0
874,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,371,11.0,1846152.0,1846152.0,1846152.0,241.0,990.0,18189.0
888,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,402,16.0,36345656.7,36345656.7,36345656.7,1031.0,1181.5,2441.0
893,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,407,59.0,18000.0,1849500.45,2000000.0,96.0,140.0,190.0
916,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,434,5.0,20000.0,20000.0,20000.0,372.0,1208.0,3715.0
968,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,539,10.0,38325.0,38325.0,38325.0,104.0,133.0,739.0
980,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,552,36.0,5000.0,5000.0,5000.0,244.5,429.5,1256.5
1053,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,PARTAGE,200,36.0,332500.0,385000.0,644437.0,120.0,173.5,264.5
1230,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,1,5.0,1286.0,2620.0,8800.0,1286.0,1310.0,2200.0
1233,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,4,6.0,3110.0,3110.0,3110.0,77.0,225.5,395.0
1281,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,70,7.0,170000.0,175000.0,180000.0,178.0,222.0,258.0
1299,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,200,426.0,270000.0,350000.0,450000.0,110.0,171.0,260.0
1308,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,222,20.0,510000.0,557000.0,650000.0,152.0,252.5,344.0
1385,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,407,43.0,300000.0,390000.0,500000.0,90.0,110.0,133.0
1476,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,1,8.0,2832.0,178916.0,355000.0,204.0,618.5,2991.0
1479,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,4,29.0,20000.0,60000.0,196000.0,176.0,355.0,485.0
1489,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,17,14.0,250000.0,250000.0,250000.0,381.0,719.0,1225.0
1527,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,70,29.0,137000.0,298000.0,655000.0,95.0,173.0,654.0
1528,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,71,5.0,360000.0,511300.0,662600.0,526.0,701.0,4330.0
1535,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,78,42.0,145000.0,388000.0,710000.0,187.0,282.0,377.0
1545,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,200,872.0,310000.0,410000.0,595000.0,107.0,165.5,255.5
