,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
69,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,200,185.0,320000.0,415000.0,630000.0,123.0,170.0,256.0
78,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,222,12.0,560000.0,847000.0,1250000.0,129.5,197.5,314.5
155,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,407,25.0,395000.0,513875.0,675000.0,81.0,100.0,161.0
315,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,COMMUNAUTE,200,128.0,50.0,200025.0,400000.0,118.0,173.5,247.5
495,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,4,7.0,102240.0,102240.0,102240.0,78.0,317.0,385.0
543,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,70,7.0,10000.0,170000.0,200000.0,113.0,283.0,470.0
561,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,200,293.0,250000.0,390000.0,596000.0,120.0,185.0,274.0
570,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,222,29.0,300000.0,540000.0,600000.0,161.0,215.0,289.0
647,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,407,31.0,175000.0,300000.0,490000.0,70.0,120.0,220.0
807,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,200,203.0,295000.0,370000.0,500000.0,115.0,165.0,244.0
811,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,204,16.0,6375.0,6375.0,6375.0,196.0,245.0,672.0
816,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,222,43.0,775000.0,800000.0,810000.0,163.0,190.0,308.0
831,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,265,8.0,2461347.0,2461347.0,2461347.0,117.0,244.0,469.5
888,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,402,14.0,2347895.88,2347895.88,2347895.88,270.0,1006.5,2371.0
893,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,407,52.0,160000.0,160000.0,160000.0,87.0,130.0,181.0
980,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,552,32.0,105000.0,110525.0,116050.0,175.5,259.0,633.5
1053,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,PARTAGE,200,39.0,305000.0,382500.0,580000.0,125.0,185.0,281.0
1139,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,PARTAGE,407,5.0,125000.0,440000.0,750000.0,65.0,86.0,115.0
1230,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,1,6.0,2872.0,2872.0,2872.0,962.0,2132.0,2542.0
1233,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,4,15.0,308384.0,308384.0,308384.0,128.0,325.0,500.0
1281,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,70,14.0,100000.0,101000.0,102000.0,71.0,195.0,610.0
1299,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,200,399.0,280000.0,347500.0,500000.0,110.0,166.0,240.0
1303,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,204,11.0,20000.0,28000.0,35000.0,19.0,25.0,365.0
1308,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,222,37.0,402500.0,600000.0,695860.8,147.0,242.0,291.0
1385,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,407,56.0,355000.0,455000.0,620000.0,57.5,108.5,175.0
1479,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,4,34.0,11525.0,14025.0,110000.0,23.0,94.5,352.0
1527,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,70,44.0,13335.0,213500.0,558500.0,105.0,213.0,258.5
1535,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,78,16.0,160000.0,611250.0,726000.0,211.5,478.0,1376.0
1545,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,200,840.0,335000.0,450000.0,640000.0,100.0,150.0,225.5
1549,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,204,12.0,125000.0,182000.0,319000.0,23.5,89.5,585.5
1554,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,222,36.0,549000.0,807500.0,1147000.0,136.0,210.0,340.0
1565,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,261,7.0,730000.0,1595000.0,2460000.0,353.0,702.0,1269.0
1569,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,265,11.0,220000.0,260000.0,460000.0,60.0,201.0,542.0
1612,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,371,15.0,292500.0,462500.0,610000.0,230.0,414.0,820.0
1626,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,402,9.0,1000000.0,1001000.0,1002000.0,219.0,567.0,1789.0
1631,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,407,100.0,385000.0,532500.0,725000.0,82.5,120.0,177.5
1706,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,539,22.0,35100.0,122500.0,556800.0,35.5,109.0,402.0
1791,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEPUBIMMEUB,200,47.0,340000.0,451000.0,655000.0,105.0,144.0,230.0
1968,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,1,11.0,2872.0,19625.0,19625.0,962.0,2110.0,3185.0
1971,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,4,77.0,13050.0,58620.0,205000.0,35.0,280.0,440.0
2019,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,70,93.0,16170.0,195000.0,327800.0,105.0,220.0,454.0
2020,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,71,7.0,264000.0,264000.0,264000.0,86.0,936.0,936.0
2027,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,78,28.0,153000.0,592500.0,726000.0,212.0,634.5,1090.5
2037,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,200,2134.0,300000.0,420000.0,600000.0,110.0,160.0,240.0
2040,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,203,5.0,668750.0,668750.0,668750.0,10.0,55.0,260.0
2041,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,204,61.0,28000.0,42000.0,182000.0,24.0,139.0,588.0
2046,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,222,164.0,450000.0,663500.0,900000.0,147.5,207.0,304.5
2057,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,261,11.0,730000.0,1595000.0,2460000.0,300.0,419.0,922.0
2061,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,265,30.0,240000.0,455000.0,525500.0,90.0,201.0,414.0
2104,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,371,38.0,415000.0,475000.0,725000.0,363.5,617.0,1009.0
2118,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,402,25.0,1000000.0,1002000.0,2347895.88,253.0,627.0,2045.0
2123,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,407,281.0,325000.0,477750.0,660000.0,80.0,115.0,180.0
2150,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,443,8.0,1475000.0,1475000.0,1475000.0,316.0,1318.5,116728.5
2154,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,460,12.0,6725200.0,6725200.0,6725200.0,792.0,3748.0,3990.0
2198,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,539,41.0,35100.0,122500.0,556800.0,53.0,255.0,485.0
2210,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,552,32.0,105000.0,110525.0,116050.0,175.5,259.0,633.5
2214,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,1,82.0,7336.07,22079.0,26400.0,1169.0,2721.5,5120.0
2215,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,2,41.0,14220.0,35500.0,36000.0,2822.0,4934.0,8863.0
2217,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,4,29.0,1836.0,168848.0,335860.0,54.0,163.0,776.0
2222,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,9,16.0,5000.0,30000.0,55000.0,1227.5,2897.5,6977.5
2265,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,70,177.0,3942.75,48700.0,195000.0,39.0,125.0,650.0
2273,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,78,79.0,51625.0,110000.0,156500.0,367.0,525.0,1059.0
2283,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,200,444.0,127500.0,240000.0,345000.0,196.0,428.0,924.0
2287,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,204,13.0,20485.96,20485.96,20485.96,18.0,27.0,52.0
2292,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,222,16.0,295000.0,448500.0,492500.0,110.5,179.5,333.5
2350,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,371,6.0,59400.0,59400.0,59400.0,644.0,1363.0,3523.0
2369,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,407,13.0,47000.0,245000.0,247500.0,99.0,165.0,370.0
2417,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,503,5.0,190000.0,295000.0,400000.0,790.0,1610.0,3540.0
2444,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,CESSION,539,5.0,450000.0,450000.0,450000.0,48.0,345.0,482.0
2706,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,DONATIMMEUB,1,181.0,24000.0,45468.0,175715.0,1596.0,3930.0,8773.0
2707,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,DONATIMMEUB,2,101.0,31705.0,126204.0,212292.5,2835.0,7680.0,20000.0
2708,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,DONATIMMEUB,3,24.0,5000.0,10500.0,16000.0,2060.0,3265.0,6435.0
2709,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,DONATIMMEUB,4,44.0,2500.0,4445.0,90000.0,367.0,602.0,815.0
2757,10000,0,Province d'Anvers,Provincie Antwerpen,Provinz Antwerpen,DONATIMMEUB,70,70.0,117500.0,158000.0,184500.0,425.0,782.5,1292.0
