,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
69,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,200,146.0,340000.0,450000.0,600000.0,110.0,155.0,220.0
78,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,222,6.0,665000.0,742500.0,880000.0,182.0,227.0,282.0
155,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,CESSION,407,10.0,310000.0,400000.0,618850.0,72.0,132.5,170.0
495,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,4,8.0,75000.0,75000.0,75000.0,131.5,239.5,713.5
543,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,70,6.0,1200000.0,1200000.0,1200000.0,706.0,870.0,1813.0
561,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,200,199.0,300000.0,405000.0,585000.0,130.0,182.0,276.0
570,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,222,22.0,350000.0,468500.0,1200000.0,160.0,218.5,322.0
647,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,DONATIMMEUB,407,22.0,264000.0,355000.0,600000.0,75.0,108.0,160.0
797,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,78,7.0,88944.47,88944.47,88944.47,204.0,309.0,656.0
803,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,164,25.0,483840.0,483840.0,483840.0,265.0,386.5,875.0
807,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,200,147.0,275000.0,495000.0,835000.0,115.0,155.0,246.0
888,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,402,6.0,19269853.35,23648900.25,28027947.15,355.0,745.5,1295.0
893,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,407,45.0,685650.0,1232175.0,1778700.0,80.0,100.0,170.0
968,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,539,9.0,360000.0,827460.0,1294920.0,310.0,1005.0,14181.0
980,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,OTHER,552,22.0,18243.9,35000.0,75000.0,209.0,399.5,730.0
1053,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,PARTAGE,200,17.0,310000.0,400000.0,650000.0,140.0,220.0,236.0
1299,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,SUCCNALAT,200,22.0,255000.0,285000.0,315000.0,95.0,143.0,257.0
1476,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,1,5.0,200.0,100000.0,450000.0,400.0,1029.0,1187.0
1479,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,4,19.0,25000.0,25000.0,25000.0,82.0,160.0,332.0
1527,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,70,17.0,191250.0,261250.0,390000.0,110.0,209.0,330.0
1541,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,164,6.0,1290000.0,1290000.0,1290000.0,100.0,135.0,175.0
1545,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,200,748.0,390000.0,519000.0,730000.0,100.0,155.0,235.0
1549,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,204,10.0,30000.0,40250.0,285000.0,21.0,47.0,230.0
1554,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,222,28.0,600000.0,890000.0,1523000.0,114.0,170.5,265.5
1565,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,261,5.0,375000.0,500000.0,13975000.0,165.0,558.0,1795.0
1569,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,265,9.0,499000.0,499000.0,665000.0,103.0,242.0,274.0
1612,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,371,6.0,474250.0,1360000.0,2813000.0,310.0,436.0,887.0
1626,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,402,6.0,825000.0,1305000.0,3620000.0,386.0,396.0,1295.0
1631,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,407,97.0,440000.0,560000.0,750000.0,55.0,91.0,160.0
1706,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEIMMEUB,539,12.0,350000.0,355000.0,995000.0,19.5,170.5,823.0
1791,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEPUBIMMEUB,200,12.0,251000.0,289000.0,361500.0,54.0,120.5,171.5
1795,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,VENTEPUBIMMEUB,204,8.0,31655.5,34229.5,47629.5,21.0,21.5,22.0
1968,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,1,19.0,4825.0,54725.0,275000.0,738.0,2790.0,6417.0
1969,4000,1,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Region Brüssel-Hauptstadt,TOTAL,2,9.0,165000.0,165000.0,165000.0,1250.0,4080.0,4710.0
