,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
69,11001,Aartselaar,Aartselaar,Aartselaar,CESSION,200,6.0,282500.0,317500.0,380000.0,174.0,266.5,347.0
561,11001,Aartselaar,Aartselaar,Aartselaar,DONATIMMEUB,200,7.0,192500.0,342500.0,459000.0,310.0,483.0,1176.0
807,11001,Aartselaar,Aartselaar,Aartselaar,OTHER,200,7.0,170000.0,245000.0,320000.0,285.0,294.0,1038.0
1299,11001,Aartselaar,Aartselaar,Aartselaar,SUCCNALAT,200,16.0,185000.0,215000.0,317500.0,229.0,381.0,685.5
1535,11001,Aartselaar,Aartselaar,Aartselaar,VENTEIMMEUB,78,7.0,170250.0,291250.0,450000.0,295.0,385.0,1180.0
1545,11001,Aartselaar,Aartselaar,Aartselaar,VENTEIMMEUB,200,74.0,280000.0,327500.0,372500.0,210.0,264.0,450.0
1968,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,1,5.0,11493.0,11493.0,11493.0,382.0,1937.0,4499.0
1969,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,2,7.0,9966.0,57065.0,882430.0,272.0,964.0,11413.0
2019,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,70,11.0,8000.0,8877.0,145000.0,49.0,245.0,275.0
2027,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,78,15.0,170000.0,232500.0,350000.0,295.0,374.0,756.0
2037,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,200,134.0,270000.0,316250.0,370000.0,210.0,294.0,515.0
2283,11002,Anvers,Antwerpen,Antwerpen,CESSION,200,118.0,148717.0,200000.0,275000.0,106.0,161.0,253.0
2287,11002,Anvers,Antwerpen,Antwerpen,CESSION,204,5.0,15000.0,15000.0,15000.0,17.0,19.0,29.0
2292,11002,Anvers,Antwerpen,Antwerpen,CESSION,222,8.0,265000.0,293333.33,352415.0,154.0,186.0,253.5
2369,11002,Anvers,Antwerpen,Antwerpen,CESSION,407,9.0,210000.0,218000.0,245000.0,111.0,150.0,198.0
2706,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,1,5.0,55000.0,55000.0,55000.0,700.0,8425.0,8905.0
2775,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,200,72.0,175000.0,250000.0,440000.0,115.0,171.0,304.0
2784,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,222,16.0,200000.0,270000.0,380125.0,197.5,249.0,340.0
2861,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,407,10.0,190000.0,279166.665,350000.0,70.0,109.5,144.0
2955,11002,Anvers,Antwerpen,Antwerpen,OTHER,4,12.0,20000.0,120000.0,611639.0,63.0,369.5,1135.5
3003,11002,Anvers,Antwerpen,Antwerpen,OTHER,70,43.0,4036.91,9518.455,15000.0,68.0,260.0,1899.0
3017,11002,Anvers,Antwerpen,Antwerpen,OTHER,164,17.0,57859.2,57859.2,57859.2,136.0,319.0,1077.0
3021,11002,Anvers,Antwerpen,Antwerpen,OTHER,200,178.0,195000.0,243500.0,311850.0,110.0,180.0,271.0
3107,11002,Anvers,Antwerpen,Antwerpen,OTHER,407,27.0,7500.0,7500.0,7500.0,80.0,105.0,211.0
3194,11002,Anvers,Antwerpen,Antwerpen,OTHER,552,18.0,2000.0,93500.0,185000.0,243.0,434.0,597.0
3267,11002,Anvers,Antwerpen,Antwerpen,PARTAGE,200,15.0,98000.0,192000.0,280000.0,108.0,159.0,321.0
3495,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,70,6.0,2000.0,2000.0,2000.0,44.0,399.5,715.0
3513,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,200,237.0,199400.0,230000.0,310000.0,120.0,177.0,230.0
