,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
69,11001,Aartselaar,Aartselaar,Aartselaar,CESSION,200,5.0,230000.0,250000.0,251195.0,229.0,245.0,293.0
561,11001,Aartselaar,Aartselaar,Aartselaar,DONATIMMEUB,200,7.0,20000.0,251195.0,590000.0,245.0,1126.0,2128.0
807,11001,Aartselaar,Aartselaar,Aartselaar,OTHER,200,6.0,244000.0,314000.0,407500.0,226.0,299.0,525.0
1299,11001,Aartselaar,Aartselaar,Aartselaar,SUCCNALAT,200,8.0,265000.0,272500.0,280000.0,183.0,212.0,341.0
1545,11001,Aartselaar,Aartselaar,Aartselaar,VENTEIMMEUB,200,16.0,260000.0,317500.0,406000.0,192.0,224.5,625.5
2019,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,70,12.0,84000.0,84000.0,84000.0,30.0,40.0,162.5
2037,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,200,51.0,250000.0,265000.0,365000.0,210.0,293.0,787.0
2283,11002,Anvers,Antwerpen,Antwerpen,CESSION,200,44.0,136313.69,235000.0,299999.0,97.5,137.5,226.5
2292,11002,Anvers,Antwerpen,Antwerpen,CESSION,222,7.0,200000.0,346000.0,365000.0,164.0,226.0,400.0
2775,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,200,61.0,157500.0,255000.0,375000.0,145.0,190.0,344.0
2784,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,222,15.0,230000.0,310000.0,448500.0,106.0,194.0,276.0
2861,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,407,5.0,450000.0,600000.0,615000.0,76.0,90.0,106.0
3011,11002,Anvers,Antwerpen,Antwerpen,OTHER,78,6.0,43406027.4,43406027.4,43406027.4,80.0,80.0,1116.0
3021,11002,Anvers,Antwerpen,Antwerpen,OTHER,200,153.0,225000.0,260000.0,290000.0,140.0,190.0,280.0
3107,11002,Anvers,Antwerpen,Antwerpen,OTHER,407,24.0,92980.2,171490.1,250000.0,73.0,126.5,155.0
3267,11002,Anvers,Antwerpen,Antwerpen,PARTAGE,200,11.0,217500.0,240000.0,271150.0,132.0,230.0,415.0
3447,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,4,8.0,25000.0,25000.0,25000.0,181.0,519.0,731.0
3513,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,200,221.0,187000.0,226000.0,300000.0,114.0,158.0,257.0
3517,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,204,21.0,17500.0,20000.0,20000.0,16.0,17.0,20.0
3522,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,222,16.0,287500.0,350000.0,379500.0,195.0,205.0,281.5
3599,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,407,9.0,285000.0,450000.0,725000.0,92.0,99.0,141.0
3693,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,4,12.0,6388.16,14388.16,29000.0,101.0,345.0,881.5
3741,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,70,17.0,1729.0,25000.0,275000.0,259.0,480.0,1343.0
3749,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,78,7.0,95000.0,182000.0,278464.5,168.0,348.0,1278.0
3759,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,200,403.0,190000.0,256000.0,340000.0,96.0,148.0,220.0
3763,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,204,25.0,17500.0,19000.0,22000.0,15.0,17.0,20.0
3768,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,222,60.0,305000.0,399000.0,530000.0,105.5,172.0,289.5
3826,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,371,10.0,846100.0,970000.0,5260000.0,895.0,1365.0,18725.0
3845,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,407,50.0,245000.0,370000.0,515000.0,73.0,130.0,213.0
4005,11002,Anvers,Antwerpen,Antwerpen,VENTEPUBIMMEUB,200,13.0,135600.0,180000.0,201000.0,74.0,160.0,195.0
4182,11002,Anvers,Antwerpen,Antwerpen,TOTAL,1,13.0,35040.0,35040.0,35040.0,278.0,730.0,6194.0
4185,11002,Anvers,Antwerpen,Antwerpen,TOTAL,4,30.0,8776.32,20000.0,25000.0,117.0,390.0,800.0
4220,11002,Anvers,Antwerpen,Antwerpen,TOTAL,50,6.0,4385424.68,4385424.68,4385424.68,4346.0,5322.0,5322.0
4233,11002,Anvers,Antwerpen,Antwerpen,TOTAL,70,37.0,5614.5,103500.0,727500.0,195.0,430.0,1343.0
4241,11002,Anvers,Antwerpen,Antwerpen,TOTAL,78,17.0,95000.0,221000.0,285000.0,139.0,320.0,1116.0
4251,11002,Anvers,Antwerpen,Antwerpen,TOTAL,200,999.0,187000.0,249000.0,323000.0,108.0,161.0,252.0
4255,11002,Anvers,Antwerpen,Antwerpen,TOTAL,204,62.0,17500.0,20000.0,20000.0,15.0,17.5,23.0
4260,11002,Anvers,Antwerpen,Antwerpen,TOTAL,222,131.0,290000.0,375000.0,460000.0,122.0,193.0,284.0
4318,11002,Anvers,Antwerpen,Antwerpen,TOTAL,371,16.0,846100.0,970000.0,5260000.0,587.0,1145.0,4097.0
