,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
69,11001,Aartselaar,Aartselaar,Aartselaar,CESSION,200,5.0,275000.0,295000.0,350000.0,225.0,333.0,392.0
561,11001,Aartselaar,Aartselaar,Aartselaar,DONATIMMEUB,200,12.0,265000.0,287500.0,385000.0,204.5,234.5,437.5
807,11001,Aartselaar,Aartselaar,Aartselaar,OTHER,200,16.0,310000.0,350000.0,550000.0,311.5,488.0,806.0
1299,11001,Aartselaar,Aartselaar,Aartselaar,SUCCNALAT,200,17.0,220000.0,265000.0,360000.0,226.0,262.0,751.0
1545,11001,Aartselaar,Aartselaar,Aartselaar,VENTEIMMEUB,200,26.0,257500.0,300000.0,350000.0,214.0,284.5,440.0
1968,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,1,6.0,1124975.0,1124975.0,1124975.0,3883.0,5575.0,6904.0
1993,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,33,6.0,3000.0,3000.0,3000.0,25.0,70.5,94.0
2027,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,78,17.0,152500.0,170000.0,210400.0,294.0,329.0,635.0
2037,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,200,79.0,258750.0,300000.0,359500.0,225.0,313.0,593.0
2283,11002,Anvers,Antwerpen,Antwerpen,CESSION,200,61.0,170000.0,220000.0,260000.0,107.0,172.0,231.0
2292,11002,Anvers,Antwerpen,Antwerpen,CESSION,222,7.0,240000.0,332500.0,482500.0,60.0,146.0,207.0
2369,11002,Anvers,Antwerpen,Antwerpen,CESSION,407,5.0,200000.0,325000.0,450000.0,115.0,118.0,295.0
2775,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,200,78.0,183000.0,230000.0,294032.5,150.0,205.5,293.0
2779,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,204,13.0,3500.0,3500.0,3500.0,17.0,18.0,41.0
2784,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,222,23.0,280000.0,420000.0,600000.0,163.0,201.0,344.0
2861,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,407,8.0,350000.0,365000.0,600000.0,60.0,112.5,322.5
3021,11002,Anvers,Antwerpen,Antwerpen,OTHER,200,116.0,200000.0,250000.0,280000.0,135.0,180.0,245.0
3088,11002,Anvers,Antwerpen,Antwerpen,OTHER,371,9.0,60000.0,1244198.865,2428397.73,135.0,280.0,2201.0
3267,11002,Anvers,Antwerpen,Antwerpen,PARTAGE,200,21.0,175000.0,235000.0,385000.0,86.0,143.0,186.0
3447,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,4,6.0,2850.0,25000.0,300000.0,382.0,612.5,1006.0
3495,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,70,8.0,15000.0,80000.0,150000.0,158.5,332.5,806.5
3513,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,200,271.0,160000.0,200000.0,240000.0,130.0,180.0,251.0
3517,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,204,11.0,11000.0,13500.0,16500.0,16.0,17.0,30.0
3522,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,222,25.0,239000.0,300000.0,350000.0,187.0,234.0,274.0
3599,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,407,5.0,75000.0,250000.0,262500.0,79.0,103.0,141.0
3690,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,1,5.0,10000.0,22500.0,25000.0,502.0,505.0,1570.0
3693,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,4,10.0,70000.0,70000.0,70000.0,85.0,264.5,442.0
3741,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,70,28.0,10793.9,68032.55,138200.49,138.5,275.0,866.5
3749,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,78,19.0,120000.0,130000.0,269500.0,144.0,166.0,555.0
3759,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,200,687.0,177000.0,225000.0,290000.0,100.0,155.0,228.0
3763,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,204,45.0,16750.0,18875.0,24000.0,16.0,17.0,20.0
3768,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,222,59.0,300000.0,350000.0,550000.0,124.0,166.0,264.0
3826,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,371,16.0,125000.0,250000.0,720000.0,165.0,288.0,623.0
3845,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,407,82.0,190000.0,250000.0,417500.0,72.0,116.0,190.0
4005,11002,Anvers,Antwerpen,Antwerpen,VENTEPUBIMMEUB,200,16.0,138000.0,184000.0,293000.0,88.0,144.0,206.5
4091,11002,Anvers,Antwerpen,Antwerpen,VENTEPUBIMMEUB,407,6.0,150000.0,249000.0,328200.0,75.0,97.0,114.0
4182,11002,Anvers,Antwerpen,Antwerpen,TOTAL,1,9.0,8550.0,10000.0,22500.0,502.0,735.0,1710.0
4183,11002,Anvers,Antwerpen,Antwerpen,TOTAL,2,9.0,62000.0,95000.0,125000.0,453.0,2630.0,8893.0
4185,11002,Anvers,Antwerpen,Antwerpen,TOTAL,4,25.0,13925.0,47500.0,185000.0,228.0,382.0,660.0
4207,11002,Anvers,Antwerpen,Antwerpen,TOTAL,33,24.0,3870.0,91935.0,180000.0,785.0,1241.0,2993.0
4209,11002,Anvers,Antwerpen,Antwerpen,TOTAL,35,6.0,5200.0,5200.0,5200.0,620.0,905.5,2172.0
4233,11002,Anvers,Antwerpen,Antwerpen,TOTAL,70,54.0,12896.95,80000.0,144100.245,127.0,251.0,928.0
4241,11002,Anvers,Antwerpen,Antwerpen,TOTAL,78,48.0,117500.0,125000.0,252000.0,172.0,375.0,642.0
4251,11002,Anvers,Antwerpen,Antwerpen,TOTAL,200,1300.0,175000.0,220000.0,280000.0,111.0,168.0,235.0
4254,11002,Anvers,Antwerpen,Antwerpen,TOTAL,203,7.0,150000.0,150000.0,150000.0,450.0,846.0,1101.0
4255,11002,Anvers,Antwerpen,Antwerpen,TOTAL,204,75.0,11000.0,16000.0,20000.0,16.0,18.0,24.0
4260,11002,Anvers,Antwerpen,Antwerpen,TOTAL,222,148.0,280000.0,348000.0,522500.0,135.0,199.0,276.0
4275,11002,Anvers,Antwerpen,Antwerpen,TOTAL,265,8.0,70000.0,850000.0,1150000.0,226.0,815.0,2851.0
4318,11002,Anvers,Antwerpen,Antwerpen,TOTAL,371,31.0,125000.0,280000.0,720000.0,163.0,312.5,701.5
4332,11002,Anvers,Antwerpen,Antwerpen,TOTAL,402,11.0,4750000.0,4750000.0,4750000.0,179.0,984.0,4661.0
4337,11002,Anvers,Antwerpen,Antwerpen,TOTAL,407,136.0,195000.0,266250.0,385000.0,70.0,118.0,205.0
4368,11002,Anvers,Antwerpen,Antwerpen,TOTAL,460,27.0,665000.0,665000.0,665000.0,520.0,2117.0,9422.0
4412,11002,Anvers,Antwerpen,Antwerpen,TOTAL,539,6.0,40000.0,225000.0,650000.0,134.0,261.5,352.0
4497,11004,Boechout,Boechout,Boechout,CESSION,200,6.0,325000.0,350000.0,375000.0,161.0,489.0,771.0
4989,11004,Boechout,Boechout,Boechout,DONATIMMEUB,200,5.0,207500.0,252500.0,270000.0,198.0,225.0,297.0
5235,11004,Boechout,Boechout,Boechout,OTHER,200,6.0,235000.0,247500.0,260000.0,360.0,675.0,1861.0
5727,11004,Boechout,Boechout,Boechout,SUCCNALAT,200,13.0,147500.0,215056.5,268500.0,470.0,922.0,1071.0
5963,11004,Boechout,Boechout,Boechout,VENTEIMMEUB,78,13.0,186000.0,307597.84,319637.205,225.0,472.0,477.0
5973,11004,Boechout,Boechout,Boechout,VENTEIMMEUB,200,15.0,192500.0,257500.0,358750.0,203.0,411.0,689.0
6396,11004,Boechout,Boechout,Boechout,TOTAL,1,10.0,16900.0,17500.0,60271.5,1280.0,3055.0,10832.0
6447,11004,Boechout,Boechout,Boechout,TOTAL,70,6.0,22640.0,27570.0,32500.0,113.0,604.5,1168.0
6455,11004,Boechout,Boechout,Boechout,TOTAL,78,18.0,172000.0,302656.27,318915.13,225.0,474.5,481.0
6465,11004,Boechout,Boechout,Boechout,TOTAL,200,50.0,175000.0,250000.0,333000.0,297.0,477.5,870.0
6711,11005,Boom,Boom,Boom,CESSION,200,7.0,210000.0,215000.0,290000.0,118.0,280.0,400.0
7941,11005,Boom,Boom,Boom,SUCCNALAT,200,13.0,62500.0,120000.0,150000.0,74.5,127.5,180.5
8187,11005,Boom,Boom,Boom,VENTEIMMEUB,200,42.0,145000.0,195000.0,245000.0,111.0,150.0,204.0
8433,11005,Boom,Boom,Boom,VENTEPUBIMMEUB,200,5.0,83000.0,97500.0,158000.0,120.0,152.0,160.0
8679,11005,Boom,Boom,Boom,TOTAL,200,80.0,135000.0,185000.0,240000.0,115.0,155.0,257.0
8688,11005,Boom,Boom,Boom,TOTAL,222,5.0,330000.0,340000.0,350000.0,185.0,297.0,308.0
10155,11007,Borsbeek,Borsbeek,Borsbeek,SUCCNALAT,200,6.0,195000.0,230000.0,250000.0,190.0,266.5,374.0
10401,11007,Borsbeek,Borsbeek,Borsbeek,VENTEIMMEUB,200,11.0,160000.0,219500.0,279000.0,130.0,190.0,390.0
10827,11007,Borsbeek,Borsbeek,Borsbeek,TOTAL,4,6.0,7200.0,7200.0,7200.0,95.0,162.0,490.0
10893,11007,Borsbeek,Borsbeek,Borsbeek,TOTAL,200,31.0,180000.0,225000.0,278000.0,163.0,258.0,412.0
10902,11007,Borsbeek,Borsbeek,Borsbeek,TOTAL,222,12.0,280000.0,292500.0,830000.0,248.0,323.5,395.5
11139,11008,Brasschaat,Brasschaat,Brasschaat,CESSION,200,10.0,175000.0,347247.7,425000.0,376.0,729.5,1085.0
11631,11008,Brasschaat,Brasschaat,Brasschaat,DONATIMMEUB,200,11.0,240000.0,300000.0,350000.0,237.0,583.0,711.0
11877,11008,Brasschaat,Brasschaat,Brasschaat,OTHER,200,13.0,450000.0,505665.0,561330.0,731.0,921.0,1466.0
12359,11008,Brasschaat,Brasschaat,Brasschaat,SUCCNALAT,78,5.0,170000.0,170000.0,170000.0,636.0,636.0,666.0
