,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
47048802,13008A892,0,HOLVEN -HEIBLOEM-VERSPR. BEW.,HOLVEN -HEIBLOEM-VERSPR. BEW.,HOLVEN -HEIBLOEM-VERSPR. BEW.,VENTEIMMEUB,TOTAL,10.0,15129.25,63379.25,180000.0,1797.5,2687.5,3045.0
47048804,13008A892,0,HOLVEN -HEIBLOEM-VERSPR. BEW.,HOLVEN -HEIBLOEM-VERSPR. BEW.,HOLVEN -HEIBLOEM-VERSPR. BEW.,TOTAL,TOTAL,51.0,15129.25,63379.25,180000.0,2065.0,2979.0,4153.5
47048811,13008A900,0,SINT-DYMPHNA,SINT-DYMPHNA,SINT-DYMPHNA,VENTEIMMEUB,TOTAL,20.0,151250.0,197802.14,262048.88,32.0,123.0,213.0
47048813,13008A900,0,SINT-DYMPHNA,SINT-DYMPHNA,SINT-DYMPHNA,TOTAL,TOTAL,30.0,154500.0,220000.0,254097.76,132.0,204.0,270.0
47048822,13008A91-,0,EEGDEKEN,EEGDEKEN,EEGDEKEN,TOTAL,TOTAL,9.0,272000.0,282250.0,292500.0,1012.0,1441.0,1628.0
47048831,13008A92-,0,LAAR - KIEVERMONT,LAAR - KIEVERMONT,LAAR - KIEVERMONT,TOTAL,TOTAL,11.0,180000.0,180000.0,180000.0,210.0,474.0,1095.0
47048840,13008A934,0,HADSCHOT-ZUID,HADSCHOT-ZUID,HADSCHOT-ZUID,TOTAL,TOTAL,9.0,112500.0,498000.0,500000.0,376.0,399.0,625.0
47048858,13008A981,0,CELGUIS-MALES,CELGUIS-MALES,CELGUIS-MALES,TOTAL,TOTAL,5.0,25000.0,45200.0,65000.0,2609.0,3100.0,6600.0
47048865,13008B800,0,TEN AARD-KERN,TEN AARD-KERN,TEN AARD-KERN,VENTEIMMEUB,TOTAL,9.0,195000.0,195000.0,195000.0,290.0,369.0,490.0
47048867,13008B800,0,TEN AARD-KERN,TEN AARD-KERN,TEN AARD-KERN,TOTAL,TOTAL,15.0,150000.0,172500.0,195000.0,290.0,490.0,996.0
