,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
1545,11001A00-,0,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,VENTEIMMEUB,200,5.0,250000.0,262000.0,320000.0,365.0,372.0,435.0
2037,11001A00-,0,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,TOTAL,200,11.0,200000.0,256000.0,320000.0,276.0,365.0,435.0
4251,11001A01-,0,DE LEEUWERIK,DE LEEUWERIK,DE LEEUWERIK,TOTAL,200,11.0,225000.0,230000.0,250000.0,192.0,222.0,536.0
13107,11001A052,0,LEUG,LEUG,LEUG,TOTAL,200,7.0,300000.0,300000.0,410000.0,248.0,315.0,394.0
33033,11001A20-,0,DE KOEKOEK,DE KOEKOEK,DE KOEKOEK,TOTAL,200,7.0,223500.0,250000.0,380000.0,234.0,370.0,652.0
34755,11001A21-,0,VIERPALEN,VIERPALEN,VIERPALEN,VENTEIMMEUB,200,5.0,265000.0,295000.0,307000.0,210.0,235.0,244.0
35247,11001A21-,0,VIERPALEN,VIERPALEN,VIERPALEN,TOTAL,200,7.0,245000.0,265000.0,307000.0,171.0,210.0,244.0
41975,11002A01-,0,KLAPDORP - BROUWERSVLIET,KLAPDORP - BROUWERSVLIET,KLAPDORP - BROUWERSVLIET,TOTAL,407,7.0,300000.0,300000.0,300000.0,58.0,63.0,72.0
57387,11002A11-,0,KIPDORP-ST.-JACOBS (SP.WALLEN),KIPDORP-ST.-JACOBS (SP.WALLEN),KIPDORP-ST.-JACOBS (SP.WALLEN),TOTAL,200,5.0,185000.0,186000.0,234000.0,22.0,54.0,73.0
61804,11002A13-,0,STADSWAAG-BEGIJNHOF(SP.WALLEN),STADSWAAG-BEGIJNHOF(SP.WALLEN),STADSWAAG-BEGIJNHOF(SP.WALLEN),TOTAL,77,5.0,5100.0,5100.0,5100.0,26.0,68.0,68.0
66329,11002A15-,0,HESSENHUIS (SPAANSE WALLEN),HESSENHUIS (SPAANSE WALLEN),HESSENHUIS (SPAANSE WALLEN),TOTAL,407,5.0,300000.0,390000.0,480000.0,70.0,77.0,79.0
67965,11002A21-,0,ST.-ANDRIES (SPAANSE WALLEN),ST.-ANDRIES (SPAANSE WALLEN),ST.-ANDRIES (SPAANSE WALLEN),VENTEIMMEUB,200,6.0,231850.0,278850.0,357500.0,35.0,58.0,75.0
68457,11002A21-,0,ST.-ANDRIES (SPAANSE WALLEN),ST.-ANDRIES (SPAANSE WALLEN),ST.-ANDRIES (SPAANSE WALLEN),TOTAL,200,7.0,231850.0,278850.0,357500.0,35.0,66.0,84.0
76821,11002B721,0,LINKEROEVER-NOORD,LINKEROEVER-NOORD,LINKEROEVER-NOORD,VENTEIMMEUB,200,8.0,243500.0,281250.0,318750.0,156.0,159.5,178.0
77313,11002B721,0,LINKEROEVER-NOORD,LINKEROEVER-NOORD,LINKEROEVER-NOORD,TOTAL,200,11.0,238000.0,245000.0,300000.0,156.0,157.0,168.0
81741,11002B742,0,THOENETLAAN (LINKEROEVER),THOENETLAAN (LINKEROEVER),THOENETLAAN (LINKEROEVER),TOTAL,200,5.0,235000.0,350000.0,505000.0,271.0,292.0,300.0
106095,11002C25-,0,PELIKAANSTRAAT (STATIONSWIJK ),PELIKAANSTRAAT (STATIONSWIJK ),PELIKAANSTRAAT (STATIONSWIJK ),TOTAL,200,5.0,310500.0,460500.0,675000.0,226.0,227.0,227.0
116673,11002C42-,0,DE ZAVEL (NOORDWIJK ),DE ZAVEL (NOORDWIJK ),DE ZAVEL (NOORDWIJK ),VENTEIMMEUB,200,7.0,115000.0,156000.0,185000.0,45.0,85.0,98.0
117165,11002C42-,0,DE ZAVEL (NOORDWIJK ),DE ZAVEL (NOORDWIJK ),DE ZAVEL (NOORDWIJK ),TOTAL,200,10.0,115000.0,157000.0,185000.0,56.0,74.0,98.0
118887,11002C43-,0,ST.-WILLEBRORDUS (NOORDWIJK ),ST.-WILLEBRORDUS (NOORDWIJK ),ST.-WILLEBRORDUS (NOORDWIJK ),VENTEIMMEUB,200,8.0,193000.0,223000.0,262500.0,64.5,85.0,105.5
119379,11002C43-,0,ST.-WILLEBRORDUS (NOORDWIJK ),ST.-WILLEBRORDUS (NOORDWIJK ),ST.-WILLEBRORDUS (NOORDWIJK ),TOTAL,200,10.0,193000.0,223000.0,262500.0,65.0,85.0,106.0
123807,11002C45-,0,STUIVENBERG ZIEKENHUIS(NOORDW),STUIVENBERG ZIEKENHUIS(NOORDW),STUIVENBERG ZIEKENHUIS(NOORDW),TOTAL,200,5.0,138000.0,163000.0,174750.0,55.0,60.0,71.0
132171,11002D32-,0,ST.-VINCENTIUS (OOSTWIJK),ST.-VINCENTIUS (OOSTWIJK),ST.-VINCENTIUS (OOSTWIJK),VENTEIMMEUB,200,5.0,350000.0,427500.0,505000.0,153.0,170.0,274.0
132663,11002D32-,0,ST.-VINCENTIUS (OOSTWIJK),ST.-VINCENTIUS (OOSTWIJK),ST.-VINCENTIUS (OOSTWIJK),TOTAL,200,9.0,350000.0,427500.0,505000.0,95.0,170.0,174.0
136599,11002D34-,0,DAGERAADPLAATS - OOSTSTATIE (OOSTWIJ,DAGERAADPLAATS - OOSTSTATIE (OOS,DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK),VENTEIMMEUB,200,11.0,300000.0,349000.0,410000.0,93.0,105.0,152.0
137091,11002D34-,0,DAGERAADPLAATS - OOSTSTATIE (OOSTWIJ,DAGERAADPLAATS - OOSTSTATIE (OOS,DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK),TOTAL,200,16.0,200000.0,321000.0,390000.0,93.0,119.5,146.5
143231,11002D41-,0,STAPPAERTS - KRIJGSHOSPITAAL (OOSTWI,STAPPAERTS - KRIJGSHOSPITAAL (OO,STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK),VENTEIMMEUB,78,8.0,214154.18,214154.18,214154.18,77.5,81.0,94.5
143723,11002D41-,0,STAPPAERTS - KRIJGSHOSPITAAL (OOSTWI,STAPPAERTS - KRIJGSHOSPITAAL (OO,STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK),TOTAL,78,8.0,214154.18,214154.18,214154.18,77.5,81.0,94.5
152097,11002E14-,0,MUSEUMWIJK (ZUIDWIJK),MUSEUMWIJK (ZUIDWIJK),MUSEUMWIJK (ZUIDWIJK),VENTEIMMEUB,200,8.0,412500.0,557000.0,635000.0,75.0,110.5,115.0
152589,11002E14-,0,MUSEUMWIJK (ZUIDWIJK),MUSEUMWIJK (ZUIDWIJK),MUSEUMWIJK (ZUIDWIJK),TOTAL,200,14.0,350000.0,534000.0,595000.0,71.0,110.5,115.0
158739,11002E50-,0,BELL (ZUIDWIJK),BELL (ZUIDWIJK),BELL (ZUIDWIJK),VENTEIMMEUB,200,7.0,227500.0,333000.0,450000.0,61.0,101.0,159.0
159231,11002E50-,0,BELL (ZUIDWIJK),BELL (ZUIDWIJK),BELL (ZUIDWIJK),TOTAL,200,9.0,238750.0,294000.0,395000.0,61.0,101.0,155.0
160953,11002E521,0,LANGE ELZENSTRAAT (ZUIDWIJK),LANGE ELZENSTRAAT (ZUIDWIJK),LANGE ELZENSTRAAT (ZUIDWIJK),VENTEIMMEUB,200,7.0,245000.0,265000.0,299000.0,61.0,78.0,130.0
161445,11002E521,0,LANGE ELZENSTRAAT (ZUIDWIJK),LANGE ELZENSTRAAT (ZUIDWIJK),LANGE ELZENSTRAAT (ZUIDWIJK),TOTAL,200,8.0,245000.0,265000.0,299000.0,67.0,92.0,125.5
174738,11002F21-,0,KOLONIELAAN (CAM. HUYSMANSL.),KOLONIELAAN (CAM. HUYSMANSL.),KOLONIELAAN (CAM. HUYSMANSL.),TOTAL,222,5.0,250000.0,250000.0,250000.0,108.0,149.0,154.0
179157,11002F60-,0,KIEL - CENTRUM (KIEL),KIEL - CENTRUM (KIEL),KIEL - CENTRUM (KIEL),TOTAL,200,5.0,163000.0,182500.0,212500.0,85.0,120.0,146.0
183585,11002F62-,0,BEERSCHOT - STADION (KIEL),BEERSCHOT - STADION (KIEL),BEERSCHOT - STADION (KIEL),TOTAL,200,7.0,150000.0,165000.0,200000.0,112.0,119.0,162.0
187521,11002F65-,0,PIUS X (KIEL),PIUS X (KIEL),PIUS X (KIEL),VENTEIMMEUB,200,5.0,225000.0,230000.0,230000.0,86.0,121.0,210.0
