,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
1545,11001A00-,0,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,VENTEIMMEUB,200,12.0,350000.0,396550.0,470000.0,218.5,300.5,447.5
2037,11001A00-,0,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,TOTAL,200,18.0,320000.0,393100.0,470000.0,225.0,300.5,450.0
3759,11001A01-,0,DE LEEUWERIK,DE LEEUWERIK,DE LEEUWERIK,VENTEIMMEUB,200,11.0,323750.0,378125.0,417000.0,192.0,227.0,417.0
4251,11001A01-,0,DE LEEUWERIK,DE LEEUWERIK,DE LEEUWERIK,TOTAL,200,18.0,325000.0,391250.0,419000.0,195.0,245.0,417.0
6465,11001A020,0,BUERSTEDE,BUERSTEDE,BUERSTEDE,TOTAL,200,5.0,396000.0,500000.0,600000.0,284.0,284.0,374.0
8187,11001A030,0,YSSELAAR,YSSELAAR,YSSELAAR,VENTEIMMEUB,200,5.0,317500.0,335000.0,349000.0,200.0,215.0,345.0
8679,11001A030,0,YSSELAAR,YSSELAAR,YSSELAAR,TOTAL,200,5.0,317500.0,335000.0,349000.0,200.0,215.0,345.0
13107,11001A052,0,LEUG,LEUG,LEUG,TOTAL,200,8.0,400000.0,400000.0,400000.0,223.0,246.0,355.0
26391,11001A10-,0,'T HEIKEN,'T HEIKEN,'T HEIKEN,TOTAL,200,5.0,280000.0,368750.0,457500.0,305.0,545.0,720.0
33033,11001A20-,0,DE KOEKOEK,DE KOEKOEK,DE KOEKOEK,TOTAL,200,9.0,362500.0,440000.0,729000.0,749.0,764.0,2211.0
34755,11001A21-,0,VIERPALEN,VIERPALEN,VIERPALEN,VENTEIMMEUB,200,7.0,370500.0,392000.0,417000.0,210.0,420.0,630.0
35247,11001A21-,0,VIERPALEN,VIERPALEN,VIERPALEN,TOTAL,200,9.0,370500.0,392000.0,417000.0,210.0,558.0,630.0
39675,11002A00-,0,ANTWERPEN KERN - OUDE STAD (SPAANSE,ANTWERPEN KERN - OUDE STAD (SPAA,ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN ),TOTAL,200,6.0,325000.0,525000.0,660000.0,39.0,55.5,65.0
56895,11002A11-,0,KIPDORP-ST.-JACOBS (SP.WALLEN),KIPDORP-ST.-JACOBS (SP.WALLEN),KIPDORP-ST.-JACOBS (SP.WALLEN),VENTEIMMEUB,200,6.0,405000.0,405000.0,440000.0,38.0,52.5,66.0
57387,11002A11-,0,KIPDORP-ST.-JACOBS (SP.WALLEN),KIPDORP-ST.-JACOBS (SP.WALLEN),KIPDORP-ST.-JACOBS (SP.WALLEN),TOTAL,200,10.0,405000.0,405000.0,440000.0,38.0,52.5,85.0
61323,11002A13-,0,STADSWAAG-BEGIJNHOF(SP.WALLEN),STADSWAAG-BEGIJNHOF(SP.WALLEN),STADSWAAG-BEGIJNHOF(SP.WALLEN),VENTEIMMEUB,200,5.0,227159.0,230079.5,233000.0,21.0,21.0,24.0
