,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
1545,11001,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,VENTEIMMEUB,200,19.0,375000.0,406000.0,545000.0,186.0,315.0,525.0
2037,11001,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,TOTAL,200,36.0,345000.0,402500.0,493035.0,192.0,303.0,494.0
4337,11002,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,TOTAL,407,5.0,260000.0,260000.0,260000.0,64.0,64.0,70.0
4497,11003,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,CESSION,200,6.0,210000.0,260000.0,576000.0,86.0,115.0,200.0
5973,11003,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,VENTEIMMEUB,200,36.0,275000.0,339000.0,370000.0,58.0,77.0,105.0
6465,11003,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,TOTAL,200,58.0,260000.0,339000.0,375000.0,69.0,85.5,142.0
6551,11003,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,TOTAL,407,6.0,640000.0,640000.0,640000.0,90.0,101.0,113.0
8177,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,VENTEIMMEUB,78,7.0,428714.21,435411.82,446579.78,259.0,285.0,338.0
8187,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,VENTEIMMEUB,200,14.0,101788.0,270000.0,520000.0,277.0,320.0,407.0
8669,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,TOTAL,78,9.0,428714.21,435411.82,446579.78,273.0,323.0,350.0
8679,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,TOTAL,200,35.0,223000.0,275000.0,375000.0,280.0,357.0,610.0
10401,11005,BOOM  1 AFD,BOOM  1 AFD,BOOM  1 AFD,VENTEIMMEUB,200,17.0,175000.0,227500.0,275000.0,90.0,270.0,336.0
10893,11005,BOOM  1 AFD,BOOM  1 AFD,BOOM  1 AFD,TOTAL,200,24.0,175000.0,245000.0,275000.0,97.0,270.0,417.5
12615,11006,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,VENTEIMMEUB,200,20.0,270000.0,290000.0,400000.0,66.5,104.0,117.5
13107,11006,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,TOTAL,200,35.0,270000.0,290000.0,400000.0,83.0,113.0,140.0
14829,11007,BORSBEEK,BORSBEEK,BORSBEEK,VENTEIMMEUB,200,17.0,305000.0,350000.0,435000.0,190.0,210.0,358.0
15321,11007,BORSBEEK,BORSBEEK,BORSBEEK,TOTAL,200,33.0,297500.0,350000.0,462500.0,190.0,298.0,358.0
17043,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,VENTEIMMEUB,200,20.0,380000.0,458000.525,610000.0,389.0,685.0,1692.0
17525,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,TOTAL,78,8.0,299000.0,326000.0,470000.0,606.0,707.5,880.0
17535,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,TOTAL,200,38.0,311500.0,450000.0,510000.0,413.0,685.0,1400.0
19257,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,VENTEIMMEUB,200,14.0,335000.0,465000.0,595000.0,877.0,1063.0,1482.0
19739,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,TOTAL,78,6.0,249000.0,249000.0,249000.0,821.0,897.0,1104.0
19749,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,TOTAL,200,25.0,335000.0,425000.0,530000.0,833.0,1095.0,1413.0
21471,11010,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,VENTEIMMEUB,200,9.0,262000.0,361000.0,430000.0,325.0,368.0,1121.0
21963,11010,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,TOTAL,200,17.0,262000.0,322000.0,430000.0,339.0,368.0,1148.0
23685,11011,ZWIJNDRECHT  2 AFD/BURCHT/,ZWIJNDRECHT  2 AFD/BURCHT/,ZWIJNDRECHT  2 AFD/BURCHT/,VENTEIMMEUB,200,13.0,220000.0,230000.0,275000.0,135.0,194.0,275.0
24177,11011,ZWIJNDRECHT  2 AFD/BURCHT/,ZWIJNDRECHT  2 AFD/BURCHT/,ZWIJNDRECHT  2 AFD/BURCHT/,TOTAL,200,26.0,220000.0,235000.0,277500.0,174.0,249.0,360.0
25899,11012,ANTWERPEN 27 AFD/DEURNE  1 AFD/,ANTWERPEN 27 AFD/DEURNE  1 AFD/,ANTWERPEN 27 AFD/DEURNE  1 AFD/,VENTEIMMEUB,200,10.0,235000.0,259000.0,275000.0,98.0,130.5,154.0
26391,11012,ANTWERPEN 27 AFD/DEURNE  1 AFD/,ANTWERPEN 27 AFD/DEURNE  1 AFD/,ANTWERPEN 27 AFD/DEURNE  1 AFD/,TOTAL,200,12.0,235000.0,259000.0,275000.0,89.0,112.0,149.5
27129,11013,EDEGEM  1 AFD,EDEGEM  1 AFD,EDEGEM  1 AFD,DONATIMMEUB,200,5.0,387500.0,455000.0,535500.0,360.0,436.0,448.0
28113,11013,EDEGEM  1 AFD,EDEGEM  1 AFD,EDEGEM  1 AFD,VENTEIMMEUB,200,35.0,411750.0,485500.0,590499.5,210.0,270.0,335.0
28605,11013,EDEGEM  1 AFD,EDEGEM  1 AFD,EDEGEM  1 AFD,TOTAL,200,63.0,385000.0,466750.0,557000.0,228.0,274.0,352.0
30819,11014,ANTWERPEN 33 AFD/DL EKEREN 1 AFD,ANTWERPEN 33 AFD/DL EKEREN 1 AFD,ANTWERPEN 33 AFD/DL EKEREN 1 AFD,TOTAL,200,9.0,269000.0,290000.0,455000.0,359.0,388.0,511.0
32472,11015,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,VENTEIMMEUB,1,12.0,103690.0,103690.0,103690.0,3604.0,10279.5,12070.0
32475,11015,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,VENTEIMMEUB,4,5.0,3650.0,24000.0,50000.0,34.0,147.0,1095.0
32541,11015,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,VENTEIMMEUB,200,15.0,258000.0,370000.0,410000.0,170.0,410.0,689.0
32964,11015,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,TOTAL,1,35.0,103690.0,103690.0,103690.0,3118.0,10190.0,12135.0
32967,11015,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,TOTAL,4,9.0,3650.0,24000.0,50000.0,147.0,1095.0,1805.0
33023,11015,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,TOTAL,78,8.0,197000.0,223500.0,250000.0,450.0,558.0,558.0
33033,11015,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,TOTAL,200,24.0,258000.0,370000.0,410000.0,282.0,422.0,688.5
34745,11016,ESSEN  1 AFD,ESSEN  1 AFD,ESSEN  1 AFD,VENTEIMMEUB,78,5.0,225000.0,309500.0,394000.0,722.0,808.0,1000.0
34755,11016,ESSEN  1 AFD,ESSEN  1 AFD,ESSEN  1 AFD,VENTEIMMEUB,200,13.0,240000.0,270000.0,390000.0,475.0,705.0,910.0
35237,11016,ESSEN  1 AFD,ESSEN  1 AFD,ESSEN  1 AFD,TOTAL,78,11.0,225000.0,309500.0,394000.0,448.0,722.0,1000.0
