,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
561,11001,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,DONATIMMEUB,200,7.0,250000.0,312500.0,400000.0,208.0,742.0,853.0
807,11001,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,OTHER,200,8.0,237500.0,309066.775,459066.775,374.5,658.5,834.0
1545,11001,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,VENTEIMMEUB,200,25.0,270000.0,305000.0,468750.0,240.0,317.0,698.0
2027,11001,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,TOTAL,78,5.0,122500.0,122500.0,122500.0,197.0,197.0,245.0
2037,11001,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,TOTAL,200,54.0,251250.0,302500.0,434375.0,208.0,395.5,766.0
3759,11002,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,VENTEIMMEUB,200,6.0,250000.0,331250.0,450000.0,46.0,94.5,238.0
3845,11002,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,VENTEIMMEUB,407,9.0,204500.0,265000.0,320000.0,33.0,42.0,54.0
4251,11002,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,TOTAL,200,9.0,202500.0,285000.0,396250.0,47.0,75.0,114.0
4337,11002,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,TOTAL,407,9.0,204500.0,265000.0,320000.0,33.0,42.0,54.0
5727,11003,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,SUCCNALAT,200,6.0,160000.0,175000.0,237600.0,115.0,116.0,120.0
5973,11003,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,VENTEIMMEUB,200,33.0,202000.0,259000.0,312000.0,70.0,100.0,125.0
6465,11003,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,TOTAL,200,52.0,183000.0,250000.0,293750.0,80.0,101.0,125.5
6474,11003,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,TOTAL,222,10.0,450000.0,690000.0,1175000.0,280.0,322.0,381.0
7449,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,OTHER,200,5.0,210000.0,247500.0,285000.0,281.0,570.0,1000.0
7941,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,SUCCNALAT,200,7.0,410000.0,427500.0,467500.0,489.0,727.0,1064.0
8177,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,VENTEIMMEUB,78,7.0,281480.735,323852.115,351578.89,141.0,345.0,635.0
8187,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,VENTEIMMEUB,200,14.0,250000.0,332500.0,451500.0,228.0,407.5,656.0
8610,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,TOTAL,1,7.0,25000.0,46500.0,68000.0,2683.0,3090.0,5168.0
8669,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,TOTAL,78,9.0,281480.735,323852.115,351578.89,225.0,346.0,782.0
8679,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,TOTAL,200,31.0,255000.0,320000.0,423000.0,252.0,490.0,1000.0
8688,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,TOTAL,222,5.0,218000.0,292500.0,367000.0,228.0,325.0,367.0
10401,11005,BOOM  1 AFD,BOOM  1 AFD,BOOM  1 AFD,VENTEIMMEUB,200,12.0,92500.0,141000.0,167500.0,79.0,82.0,116.5
10893,11005,BOOM  1 AFD,BOOM  1 AFD,BOOM  1 AFD,TOTAL,200,24.0,100000.0,147500.0,190000.0,79.0,116.5,194.5
11139,11006,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,CESSION,200,5.0,130000.0,168000.0,175000.0,76.0,90.0,103.0
12369,11006,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,SUCCNALAT,200,5.0,165000.0,175000.0,210000.0,90.0,90.0,94.0
12615,11006,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,VENTEIMMEUB,200,26.0,170000.0,201250.0,270000.0,103.0,117.5,146.0
13107,11006,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,TOTAL,200,44.0,165000.0,188750.0,244000.0,90.0,111.0,145.5
13845,11007,BORSBEEK,BORSBEEK,BORSBEEK,DONATIMMEUB,200,5.0,95000.0,220000.0,300000.0,217.0,302.0,444.0
14091,11007,BORSBEEK,BORSBEEK,BORSBEEK,OTHER,200,8.0,250000.0,280000.0,310000.0,219.0,294.0,417.0
14583,11007,BORSBEEK,BORSBEEK,BORSBEEK,SUCCNALAT,200,5.0,160000.0,241500.0,310000.0,220.0,297.0,699.0
14829,11007,BORSBEEK,BORSBEEK,BORSBEEK,VENTEIMMEUB,200,9.0,247500.0,275000.0,380000.0,178.0,208.0,412.0
15321,11007,BORSBEEK,BORSBEEK,BORSBEEK,TOTAL,200,31.0,220000.0,267500.0,300000.0,207.0,253.0,470.0
15325,11007,BORSBEEK,BORSBEEK,BORSBEEK,TOTAL,204,6.0,20000.0,49000.0,78000.0,60.0,96.0,449.0
15567,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,CESSION,200,5.0,240000.0,608500.0,624000.0,466.0,564.0,1782.0
16059,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,DONATIMMEUB,200,5.0,237500.0,312500.0,375000.0,719.0,756.0,788.0
16305,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,OTHER,200,9.0,390000.0,390000.0,390000.0,702.0,1500.0,1500.0
16797,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,SUCCNALAT,200,7.0,300000.0,320000.0,375000.0,339.0,690.0,756.0
17043,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,VENTEIMMEUB,200,10.0,249000.0,258000.0,460000.0,524.0,677.5,2080.0
17474,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,TOTAL,9,11.0,50000.0,50000.0,50000.0,1855.0,4225.0,36100.0
17535,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,TOTAL,200,36.0,250000.0,310000.0,400000.0,534.5,738.0,1641.0
19239,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,VENTEIMMEUB,70,6.0,4000.0,4000.0,4000.0,85.0,85.0,572.0
19247,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,VENTEIMMEUB,78,5.0,140000.0,142500.0,142500.0,684.0,1001.0,1001.0
19257,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,VENTEIMMEUB,200,21.0,256250.0,335000.0,395139.97,595.0,794.0,1000.0
19731,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,TOTAL,70,7.0,4000.0,62000.0,120000.0,85.0,85.0,1180.0
19739,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,TOTAL,78,8.0,140000.0,142500.0,165000.0,842.5,1029.5,1237.0
19749,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,TOTAL,200,28.0,283750.0,330000.0,388639.97,595.0,858.0,1255.5
20664,11010,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,OTHER,1,9.0,1500.0,1500.0,1500.0,4265.0,5510.0,9340.0
21453,11010,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,VENTEIMMEUB,70,7.0,3600.0,3600.0,3600.0,5.0,177.0,400.0
21471,11010,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,VENTEIMMEUB,200,9.0,285000.0,335000.0,335000.0,215.0,350.0,545.0
21894,11010,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,TOTAL,1,32.0,1500.0,1500.0,1500.0,4240.0,5372.5,10195.0
21945,11010,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,TOTAL,70,10.0,3600.0,3600.0,3600.0,5.0,127.5,400.0
21963,11010,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,TOTAL,200,21.0,285000.0,335000.0,342500.0,312.0,539.0,802.0
23439,11011,ZWIJNDRECHT  2 AFD/BURCHT/,ZWIJNDRECHT  2 AFD/BURCHT/,ZWIJNDRECHT  2 AFD/BURCHT/,SUCCNALAT,200,6.0,195000.0,212500.0,270000.0,225.0,318.5,410.0
23685,11011,ZWIJNDRECHT  2 AFD/BURCHT/,ZWIJNDRECHT  2 AFD/BURCHT/,ZWIJNDRECHT  2 AFD/BURCHT/,VENTEIMMEUB,200,17.0,140000.0,199000.0,220000.0,116.0,160.0,281.0
24177,11011,ZWIJNDRECHT  2 AFD/BURCHT/,ZWIJNDRECHT  2 AFD/BURCHT/,ZWIJNDRECHT  2 AFD/BURCHT/,TOTAL,200,31.0,166000.0,200000.0,230000.0,137.0,265.0,363.0
25899,11012,ANTWERPEN 27 AFD/DEURNE  1 AFD/,ANTWERPEN 27 AFD/DEURNE  1 AFD/,ANTWERPEN 27 AFD/DEURNE  1 AFD/,VENTEIMMEUB,200,17.0,145000.0,158750.0,195000.0,100.0,135.0,141.0
26391,11012,ANTWERPEN 27 AFD/DEURNE  1 AFD/,ANTWERPEN 27 AFD/DEURNE  1 AFD/,ANTWERPEN 27 AFD/DEURNE  1 AFD/,TOTAL,200,19.0,142500.0,150000.0,190000.0,100.0,135.0,150.0
27867,11013,EDEGEM  1 AFD,EDEGEM  1 AFD,EDEGEM  1 AFD,SUCCNALAT,200,8.0,250000.0,375000.0,450000.0,211.5,297.0,567.5
28113,11013,EDEGEM  1 AFD,EDEGEM  1 AFD,EDEGEM  1 AFD,VENTEIMMEUB,200,25.0,285000.0,320000.0,350000.0,186.0,228.0,317.0
28587,11013,EDEGEM  1 AFD,EDEGEM  1 AFD,EDEGEM  1 AFD,TOTAL,70,7.0,1305.0,1305.0,1305.0,194.0,311.0,486.0
28605,11013,EDEGEM  1 AFD,EDEGEM  1 AFD,EDEGEM  1 AFD,TOTAL,200,42.0,278000.0,315000.0,355000.0,186.0,231.0,342.0
30327,11014,ANTWERPEN 33 AFD/DL EKEREN 1 AFD,ANTWERPEN 33 AFD/DL EKEREN 1 AFD,ANTWERPEN 33 AFD/DL EKEREN 1 AFD,VENTEIMMEUB,200,9.0,225000.0,300000.0,320000.0,283.0,430.0,575.0
30819,11014,ANTWERPEN 33 AFD/DL EKEREN 1 AFD,ANTWERPEN 33 AFD/DL EKEREN 1 AFD,ANTWERPEN 33 AFD/DL EKEREN 1 AFD,TOTAL,200,18.0,192500.0,300000.0,320000.0,300.0,424.5,509.0
31803,11015,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,OTHER,200,7.0,350000.0,362500.0,375000.0,476.0,778.0,1000.0
32295,11015,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,SUCCNALAT,200,5.0,210000.0,225000.0,230000.0,515.0,1126.0,1160.0
32523,11015,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,VENTEIMMEUB,70,5.0,5000.0,5000.0,5000.0,451.0,1027.0,4304.0
32541,11015,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,VENTEIMMEUB,200,8.0,229000.0,235000.0,336000.0,591.0,1145.0,1514.0
32964,11015,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,RANST  4 AFD/EMBLEM/,TOTAL,1,9.0,10000.0,12000.0,53760.0,877.0,1615.0,4347.0
