,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
561,11001,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,DONATIMMEUB,200,6.0,250000.0,300000.0,450000.0,210.0,265.5,368.0
1545,11001,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,VENTEIMMEUB,200,28.0,320000.0,395000.0,482500.0,216.0,271.5,387.5
2037,11001,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,AARTSELAAR  1 AFD,TOTAL,200,55.0,305000.0,390000.0,465600.0,210.0,265.0,370.0
3845,11002,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,VENTEIMMEUB,407,5.0,592500.0,925000.0,1450000.0,110.0,145.0,210.0
4251,11002,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,TOTAL,200,9.0,245000.0,450000.0,690000.0,64.0,80.0,237.0
4337,11002,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,ANTWERPEN  1 AFD,TOTAL,407,10.0,435000.0,925000.0,1376180.4,63.0,109.0,210.0
5973,11003,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,VENTEIMMEUB,200,21.0,249000.0,336500.0,400000.0,78.0,102.0,154.0
6465,11003,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,ANTWERPEN 21 AFD/BERCHEM  1 AFD/,TOTAL,200,39.0,244500.0,336500.0,395000.0,78.0,116.0,205.0
8118,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,VENTEIMMEUB,1,7.0,10968.0,68864.0,126760.0,3925.0,5720.0,7834.0
8169,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,VENTEIMMEUB,70,5.0,18259.5,33313.75,48368.0,337.0,751.0,1440.0
8187,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,VENTEIMMEUB,200,10.0,213750.0,347500.0,470250.0,141.0,259.5,781.0
8610,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,TOTAL,1,18.0,10968.0,68864.0,126760.0,3925.0,5487.5,7834.0
8661,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,TOTAL,70,10.0,18259.5,33313.75,48368.0,386.0,568.5,6146.0
8679,11004,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,BOECHOUT  1 AFD/BOECHOUT/,TOTAL,200,26.0,206000.0,347500.0,510000.0,189.0,395.5,781.0
10401,11005,BOOM  1 AFD,BOOM  1 AFD,BOOM  1 AFD,VENTEIMMEUB,200,16.0,130000.0,161000.0,210000.0,52.5,92.0,155.0
10883,11005,BOOM  1 AFD,BOOM  1 AFD,BOOM  1 AFD,TOTAL,78,5.0,50000.0,50000.0,50000.0,105.0,150.0,150.0
10893,11005,BOOM  1 AFD,BOOM  1 AFD,BOOM  1 AFD,TOTAL,200,26.0,130000.0,161000.0,217000.0,58.0,92.0,150.0
12615,11006,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,VENTEIMMEUB,200,19.0,175000.0,288299.5,425101.0,108.0,125.0,132.0
13107,11006,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,ANTWERPEN 24 AFD/BORGERHOUT  1/,TOTAL,200,32.0,180000.0,265000.0,423261.0,110.0,126.0,132.0
14811,11007,BORSBEEK,BORSBEEK,BORSBEEK,VENTEIMMEUB,70,19.0,676.0,1740.0,2825.53,18.0,46.0,156.0
14829,11007,BORSBEEK,BORSBEEK,BORSBEEK,VENTEIMMEUB,200,11.0,257000.0,324500.0,372000.0,191.0,207.0,252.0
15303,11007,BORSBEEK,BORSBEEK,BORSBEEK,TOTAL,70,19.0,676.0,1740.0,2825.53,18.0,46.0,156.0
15321,11007,BORSBEEK,BORSBEEK,BORSBEEK,TOTAL,200,21.0,275000.0,300000.0,350000.0,197.0,207.0,274.0
17043,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,VENTEIMMEUB,200,21.0,337250.0,405000.0,715000.0,325.0,580.0,980.0
17474,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,TOTAL,9,5.0,131400.0,131400.0,131400.0,58.0,4021.0,5854.0
17517,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,TOTAL,70,6.0,222105.0,363552.5,505000.0,1684.0,3780.5,6666.0
17525,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,TOTAL,78,8.0,95000.0,427500.0,760000.0,759.0,759.0,2625.0
17535,11008,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,BRASSCHAAT  1 AFD,TOTAL,200,39.0,322500.0,405000.0,637500.0,325.0,580.0,980.0
19196,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,VENTEIMMEUB,9,5.0,238000.0,238000.0,238000.0,5762.0,9000.0,16454.0
19247,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,VENTEIMMEUB,78,5.0,220000.0,285000.0,300000.0,837.0,1104.0,1430.0
19257,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,VENTEIMMEUB,200,8.0,323000.0,436000.0,920000.0,757.5,956.5,1233.0
19688,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,TOTAL,9,7.0,238000.0,238000.0,238000.0,3451.0,5762.0,16454.0
19739,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,TOTAL,78,9.0,220000.0,285000.0,300000.0,837.0,1104.0,1799.0
19749,11009,BRECHT  1 AFD,BRECHT  1 AFD,BRECHT  1 AFD,TOTAL,200,15.0,375000.0,535000.0,920000.0,839.0,940.0,1166.0
21963,11010,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,RANST  3 AFD/BROECHEM/,TOTAL,200,9.0,520000.0,520000.0,520000.0,517.0,547.0,732.0
