,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
3,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,4,6.0,50000.0,50000.0,50000.0,30.0,276.5,617.0
51,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,70,45.0,10000.0,15000.0,49000.0,69.0,133.0,385.0
59,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,78,7.0,137500.0,225000.0,398700.0,406.0,550.0,1085.0
69,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,200,185.0,195000.0,280000.0,385000.0,180.0,297.0,635.0
78,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,222,6.0,43945.75,108750.0,221250.0,141.0,218.0,259.0
492,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,1,32.0,135000.0,817500.0,1500000.0,3983.0,6237.5,10040.5
493,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,2,58.0,739904.0,739904.0,739904.0,7755.0,13388.5,20000.0
500,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,9,12.0,250000.0,250000.0,250000.0,1675.0,3043.0,9296.0
543,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,70,26.0,275000.0,275000.0,275000.0,114.0,927.5,2975.0
551,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,78,26.0,162250.0,247000.0,448750.0,369.0,719.5,900.0
561,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,200,182.0,185000.0,258000.0,330000.0,192.0,415.0,844.0
565,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,204,18.0,15000.0,45000.0,115000.0,19.0,25.5,150.0
570,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,222,19.0,260000.0,300000.0,320000.0,166.0,208.0,412.0
647,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,407,7.0,250000.0,250000.0,250000.0,72.0,247.0,451.0
738,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,1,21.0,13752.0,14772.0,33000.0,2292.0,4005.0,9170.0
739,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,2,27.0,250.0,250.0,250.0,2295.0,6270.0,17176.0
741,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,4,14.0,54372.0,54372.0,54372.0,300.0,459.0,666.0
789,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,70,48.0,52.5,537.5,2750.0,209.0,307.0,948.0
797,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,78,111.0,37500.0,86250.0,135000.0,185.0,349.0,724.0
807,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,200,392.0,240000.0,300000.0,400000.0,178.0,304.0,729.0
811,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,204,37.0,18000.0,96500.0,175000.0,18.0,21.0,217.0
816,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,222,41.0,375000.0,1155500.0,1936000.0,184.0,247.0,430.0
818,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,240,5.0,485000.0,485000.0,485000.0,1071.0,1178.0,2620.0
874,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,371,24.0,1200.0,46800.0,92400.0,781.0,1261.0,3410.0
893,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,407,38.0,155000.0,187500.0,220000.0,138.0,232.5,445.0
924,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,460,11.0,1500.0,1500.0,1500.0,509.0,1634.0,4859.0
968,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,539,8.0,11338.0,289788.0,6000000.0,157.5,500.5,4287.0
984,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,PARTAGE,1,12.0,10000.0,10000.0,10000.0,5662.5,8925.0,11986.0
992,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,PARTAGE,9,10.0,20020.0,20020.0,20020.0,2900.0,6300.0,9245.0
1053,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,PARTAGE,200,37.0,259023.74,325000.0,400000.0,147.0,260.0,588.0
1230,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,1,58.0,40000.0,43698.0,100000.0,839.0,2801.0,5631.0
1231,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,2,38.0,19000.0,26792.0,50000.0,1350.0,3078.0,7075.0
1232,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,3,11.0,2000.0,2000.0,2000.0,1705.0,2585.0,5930.0
1233,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,4,48.0,1000.0,4500.0,50000.0,162.5,503.0,734.0
1238,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,9,39.0,2530.0,9193.5,17056.5,1605.0,3005.0,5591.0
1257,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,35,11.0,333.0,1377.0,2421.0,250.0,1439.0,1520.0
1281,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,70,28.0,50000.0,85000.0,120000.0,199.0,396.0,775.0
1289,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,78,22.0,150000.0,180000.0,270000.0,415.0,615.0,1236.0
1299,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,200,788.0,200000.0,270000.0,330500.0,175.0,300.0,681.0
1302,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,203,9.0,12750.0,13989.0,15228.0,35.0,313.0,1859.0
1303,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,204,45.0,15000.0,17500.0,68500.0,18.0,32.0,306.0
1308,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,222,28.0,330000.0,375000.0,510000.0,154.0,200.0,393.0
1317,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,247,7.0,500.0,500.0,500.0,25.0,875.5,2087.0
1385,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,407,26.0,300000.0,350000.0,675000.0,130.0,214.5,472.0
1433,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,SUCCNALAT,503,13.0,100000.0,150000.0,162700.0,730.0,1277.0,1433.0
1476,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,VENTEIMMEUB,1,46.0,28000.0,100000.0,175000.0,683.0,1566.5,3334.0
1477,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,VENTEIMMEUB,2,57.0,11462.0,64254.25,192500.0,2160.0,5945.0,11309.0
1478,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,VENTEIMMEUB,3,8.0,70000.0,267942.5,465885.0,1822.5,2797.5,6674.0
1479,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,VENTEIMMEUB,4,62.0,8250.0,15000.0,72500.0,95.0,308.5,543.0
1484,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,VENTEIMMEUB,9,37.0,24000.0,125000.0,270000.0,2001.0,3460.0,8372.0
1503,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,VENTEIMMEUB,35,13.0,7725.0,167862.5,328000.0,116.0,458.0,1487.0
1527,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,VENTEIMMEUB,70,188.0,8264.0,65250.0,205000.0,86.0,289.5,1146.0
1535,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,VENTEIMMEUB,78,178.0,175000.0,230000.0,319761.715,264.0,468.5,939.0
1545,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,VENTEIMMEUB,200,1715.0,225000.0,295000.0,400000.0,136.0,234.0,558.0
1548,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,VENTEIMMEUB,203,10.0,10000.0,112000.0,350000.0,76.0,448.0,1461.0
1549,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,VENTEIMMEUB,204,86.0,15000.0,20000.0,41000.0,17.0,20.0,45.0
1554,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,VENTEIMMEUB,222,71.0,330000.0,450000.0,725000.0,140.0,215.0,326.0
