,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
0,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,1,15.0,200000.0,239003.0,278006.0,1558.0,3724.0,6050.0
51,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,70,47.0,36000.0,49000.0,77165.46,93.0,288.0,1778.0
59,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,78,7.0,33561.0,320000.0,320000.0,272.0,666.0,2104.0
69,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,200,141.0,215000.0,271152.0,365000.0,161.0,291.0,665.0
78,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,222,8.0,200000.0,346000.0,365000.0,185.0,290.5,462.5
315,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,COMMUNAUTE,200,295.0,387063.81,387063.81,387063.81,183.0,314.0,785.0
492,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,1,34.0,35040.0,175020.0,315000.0,995.0,2224.0,4200.0
493,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,2,53.0,137640.0,160000.0,410800.0,3836.0,5159.0,10970.0
543,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,70,16.0,17500.0,137500.0,275000.0,539.5,1672.5,3315.5
551,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,78,17.0,110000.0,147000.0,150000.0,490.0,700.0,1036.0
561,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,200,209.0,210000.0,280000.0,400000.0,204.0,522.5,1125.0
564,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,203,5.0,95000.0,95000.0,95000.0,77.0,837.0,1072.0
570,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,222,22.0,270000.0,300000.0,448500.0,146.0,219.5,339.0
647,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,407,7.0,450000.0,600000.0,615000.0,76.0,106.0,391.0
