,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
0,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,1,5.0,30700.0,30700.0,30700.0,4515.0,4904.0,5527.0
1,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,2,20.0,25000.0,57500.0,90000.0,6011.5,7767.0,14966.5
3,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,4,10.0,33390.0,106695.0,180000.0,75.0,527.5,1500.0
51,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,70,61.0,3000.0,11000.0,23215.0,59.0,132.0,295.0
59,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,78,8.0,378280.0,378280.0,378280.0,260.0,314.0,1046.0
69,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,200,182.0,170000.0,234500.0,285000.0,154.0,252.5,612.0
78,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,222,9.0,210000.0,420000.0,440000.0,185.0,281.0,387.0
155,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,407,6.0,200000.0,300000.0,692000.0,116.0,204.5,543.0
315,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,COMMUNAUTE,200,227.0,210000.0,210000.0,210000.0,215.0,404.5,843.0
492,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,1,36.0,8000.0,40000.0,100000.0,1523.0,3762.5,7729.5
493,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,2,50.0,375000.0,375000.0,375000.0,6568.0,11058.0,20411.0
495,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,4,12.0,210000.0,210000.0,210000.0,785.0,1269.0,1962.5
543,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,70,28.0,20700.0,106120.0,165000.0,703.0,1861.5,3393.0
551,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,78,46.0,157500.0,210000.0,230000.0,376.0,561.0,1062.0
561,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,200,244.0,200000.0,260000.0,350000.0,219.0,458.0,992.0
570,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,222,29.0,250000.0,350000.0,765000.0,185.0,245.0,510.0
572,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,240,7.0,300000.0,300000.0,300000.0,1181.0,3268.0,4900.0
579,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,247,7.0,100000.0,100000.0,100000.0,45.0,1769.0,4082.0
647,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,407,18.0,255000.0,340000.0,475000.0,75.0,115.0,190.0
695,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,503,7.0,100000.0,100000.0,100000.0,1050.0,1367.0,2709.0
738,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,1,32.0,12933.0,25389.0,34995.0,1919.5,3868.5,6381.0
739,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,2,27.0,5500.0,24567.0,33060.0,3055.0,5510.0,17146.0
789,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,70,62.0,5000.0,45000.0,515610.0,217.0,909.5,3393.0
797,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,78,57.0,200.0,1900.0,3600.0,323.0,679.0,1117.0
803,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,164,9.0,20000.0,20000.0,20000.0,239.0,675.0,1018.0
807,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,200,299.0,220000.0,260000.0,325000.0,200.0,362.5,859.0
811,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,204,19.0,5000.0,5000.0,5000.0,48.0,122.0,389.0
874,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,371,20.0,47000.0,10738921.0,21430842.0,376.0,1356.5,7118.0
891,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,405,5.0,18592.05,139446.025,260300.0,1223.0,5065.0,10502.0
893,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,407,41.0,400000.0,400000.0,400000.0,83.0,151.0,239.0
968,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,OTHER,539,9.0,60000.0,60000.0,60000.0,39.0,90.0,2353.0
